Kappa, g_wave, Max Velocity (m/s), Avg Viscosity (Pa·s), Max Enthalpy (J/m³), Max Coherence (sigma), Max Divergence
1.0e+04, 1.0e-09, 9.89e+01, 2.51e-07, 8.02e+07, 10.0000, 3.72e+03
1.0e+04, 5.0e-09, 9.89e+01, 2.51e-07, 8.02e+07, 10.0000, 3.72e+03
1.0e+04, 1.0e-08, 9.89e+01, 2.51e-07, 8.02e+07, 10.0000, 3.72e+03
1.0e+04, 5.0e-08, 9.89e+01, 2.51e-07, 8.02e+07, 10.0000, 3.72e+03
1.0e+05, 1.0e-09, 9.89e+01, 2.51e-07, 8.02e+07, 10.0000, 3.72e+03
1.0e+05, 5.0e-09, 9.89e+01, 2.51e-07, 8.02e+07, 10.0000, 3.72e+03
1.0e+05, 1.0e-08, 9.89e+01, 2.51e-07, 8.02e+07, 10.0000, 3.72e+03
1.0e+05, 5.0e-08, 9.89e+01, 2.51e-07, 8.02e+07, 10.0000, 3.72e+03
5.0e+05, 1.0e-09, 9.89e+01, 2.51e-07, 8.02e+07, 10.0000, 3.72e+03
5.0e+05, 5.0e-09, 9.89e+01, 2.51e-07, 8.02e+07, 10.0000, 3.72e+03
5.0e+05, 1.0e-08, 9.89e+01, 2.51e-07, 8.02e+07, 10.0000, 3.72e+03
5.0e+05, 5.0e-08, 9.89e+01, 2.51e-07, 8.02e+07, 10.0000, 3.72e+03
1.0e+06, 1.0e-09, 9.89e+01, 2.51e-07, 8.02e+07, 10.0000, 3.72e+03
1.0e+06, 5.0e-09, 9.89e+01, 2.51e-07, 8.02e+07, 10.0000, 3.72e+03
1.0e+06, 1.0e-08, 9.89e+01, 2.51e-07, 8.02e+07, 10.0000, 3.72e+03
1.0e+06, 5.0e-08, 9.89e+01, 2.51e-07, 8.02e+07, 10.0000, 3.72e+03
